Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.442-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.475-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.480-0500, Frequency : 902750, Phase : 177
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.522-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.526-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.563-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.568-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.607-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.613-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.652-0500, Frequency : 902750, Phase : 177
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.656-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.694-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.699-0500, Frequency : 902750, Phase : 174
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.734-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.738-0500, Frequency : 902750, Phase : 0
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.772-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.777-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.810-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.815-0500, Frequency : 902750, Phase : 11
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.853-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.858-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.890-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.895-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.929-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.934-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:28.968-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:28.972-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.009-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.033-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.038-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.071-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.076-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.110-0500, Frequency : 902750, Phase : 177
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.115-0500, Frequency : 902750, Phase : 70
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.152-0500, Frequency : 902750, Phase : 2
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.157-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.191-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.195-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.229-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.234-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.267-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.284-0500, Frequency : 902750, Phase : 75
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.288-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.323-0500, Frequency : 902750, Phase : 8
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.331-0500, Frequency : 902750, Phase : 78
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.366-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.370-0500, Frequency : 902750, Phase : 73
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.403-0500, Frequency : 902750, Phase : 177
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.408-0500, Frequency : 902750, Phase : 67
Background Read: EPC:E2009366C6B60FF19071BC3F ant:1 count:1 time:2018-03-15T12:13:29.442-0500, Frequency : 902750, Phase : 5
Background Read: EPC:E2009366C6B56FB19071B9BE ant:1 count:1 time:2018-03-15T12:13:29.447-0500, Frequency : 902750, Phase : 73
