Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.116-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.150-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.187-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.221-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.254-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.290-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.324-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.357-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.377-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.412-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.446-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.480-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.516-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.550-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.583-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.628-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.662-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.696-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.730-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.765-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.798-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.833-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.876-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.910-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.948-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:00.980-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.015-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.048-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.084-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.117-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.144-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.180-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.213-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.247-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.280-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.318-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.351-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.384-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.393-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.429-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.462-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.497-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.529-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.565-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.600-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.653-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.689-0500, Frequency : 902750, Phase : 163
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.723-0500, Frequency : 902750, Phase : 154
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.758-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.790-0500, Frequency : 902750, Phase : 151
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.825-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.861-0500, Frequency : 902750, Phase : 157
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.904-0500, Frequency : 902750, Phase : 160
Background Read: EPC:E2009366C6B60E319071BC38 ant:1 count:1 time:2018-03-15T12:19:01.936-0500, Frequency : 902750, Phase : 160
